Filename, Scale, ShiftX, ShiftY, ProcessingTime(s)
IMG_20260117_114534.jpg, 0.28x, 29.7px, -3.9px, 0.34s
IMG_20260118_122758.jpg, 0.29x, -7.9px, 17.7px, 0.36s
IMG_20260119_183237.jpg, 0.28x, -8.7px, 24.6px, 0.35s
IMG_20260120_120901.jpg, 0.27x, 33.1px, 35.8px, 0.33s
IMG_20260121_091521.jpg, 0.29x, 13.9px, 7.2px, 0.37s
IMG_20260122_123513.jpg, 0.29x, -1.8px, 18.0px, 0.34s
IMG_20260123_145536.jpg, 0.30x, -36.9px, 2.4px, 0.36s
IMG_20260124_115208.jpg, 0.29x, 12.4px, 3.0px, 0.46s
IMG_20260125_150707.jpg, 0.28x, 19.0px, 15.7px, 0.34s
IMG_20260127_103016.jpg, 0.30x, -12.3px, -1.6px, 0.34s
IMG_20260128_160816.jpg, 0.29x, -4.4px, 4.6px, 0.36s
IMG_20260129_130106.jpg, 0.30x, -39.4px, 1.2px, 0.37s
IMG_20260130_212857.jpg, 0.31x, -12.1px, -21.8px, 0.44s
IMG_20260131_130321.jpg, 0.30x, 2.9px, 2.8px, 0.33s
IMG_20260201_111128.jpg, 0.29x, -15.8px, -7.1px, 0.38s
IMG_20260203_132249.jpg, 0.30x, -16.3px, 2.4px, 0.39s
IMG_20260204_151502.jpg, 0.30x, -22.2px, 1.4px, 0.37s
IMG_20260205_083525.jpg, 0.31x, -19.8px, -28.4px, 0.35s
IMG_20260206_154816.jpg, 0.29x, -1.1px, -2.7px, 0.34s
IMG_20260207_092156.jpg, 0.28x, 15.6px, 9.5px, 0.33s
IMG_20260208_090020.jpg, 0.30x, -8.8px, 6.0px, 0.33s
